,Entity Name in Fonds ,Entity Name, Sector,Region,Country Type,Country Code,Country,Company OVERALL Grade,Environment Grade,Labour Grade,Society Grade,Governance Grade,Lat,Lon
45,LVMH Moet Hennessy Louis Vuitton SE,LVMH,Consumer Discretionary,Europe & Middle East,DM,FR,France,B+,A-,B+,B-,A-,46.603354,1.8883335
46,Masco Corp,Masco,Industrials,North America,DM,US,United States,B-,B-,B-,C+,A,39.7837304,-100.4458825
47,Mastercard Inc A,Mastercard Inc,Information Technology,North America,DM,US,United States,C+,C,C,B-,A-,39.7837304,-100.4458825
48,Maxim Integrated Products Inc,Maxim Integrated Products,Information Technology,North America,DM,US,United States,C+,C+,B-,C+,B+,39.7837304,-100.4458825
49,McDonald's Corporation 1%,McDonalds Corporation,Consumer Discretionary,North America,DM,US,United States,B-,B+,D+,C+,A,39.7837304,-100.4458825
50,Mediobanca SpA,Mediobanca SPA,Financials,Europe & Middle East,DM,IT,Italy,C,C+,C-,C+,B-,42.6384261,12.674297
51,Microsoft Corp,Microsoft Corporation,Information Technology,North America,DM,US,United States,B+,A-,B-,B-,B+,39.7837304,-100.4458825
52,Norfolk Southern Corp,Norfolk Southern,Industrials,North America,DM,US,United States,B,B,C+,B+,A,39.7837304,-100.4458825
53,Novartis AG,Novartis,Health Care,Europe & Middle East,DM,CH,Switzerland,B+,A-,B+,B,B+,46.7985624,8.2319736
54,NTT Data Corp,NTT Data,Information Technology,Asia-Pacific,DM,JP,Japan,A,A+,B+,A,B-,36.5748441,139.2394179
55,Pernod Ricard SA 5.75%,Pernod Ricard,Consumer Staples,Europe & Middle East,DM,FR,France,B-,A-,B+,C,A-,46.603354,1.8883335
56,Ping An Insurance (Group) Co. of China Ltd H,Ping An Bank,Financials,Asia-Pacific,EM,CN,China,C+,B-,D+,C+,B-,35.000074,104.999927
57,Procter & Gamble Co,Procter & Gamble Company,Consumer Staples,North America,DM,US,United States,B,B,C+,B,B+,39.7837304,-100.4458825
58,Cooperatieve Rabobank U.A. 11%,Rabobank,Other (non-stocklisted companies),Europe & Middle East,DM,NL,Netherlands,B,A-,B,B,C+,52.2379891,5.53460738161551
59,Roche Holding AG Dividend Right Cert.,Roche,Health Care,Europe & Middle East,DM,CH,Switzerland,B,B+,B-,B+,B+,46.7985624,8.2319736
60,Salesforce.com Inc,SALESFORCE.COM,Information Technology,North America,DM,US,United States,A-,A-,A-,B+,B+,39.7837304,-100.4458825
61,SAP SE,SAP SE,Information Technology,Europe & Middle East,DM,DE,Germany,A,A+,A+,B+,B+,51.0834196,10.4234469
62,Sberbank of Russia PJSC ADR,SBERBANK SAVINGS BANK RUSSIA,Financials,Europe & Middle East,EM,RU,Russian Federation,C+,C+,C+,C+,B,64.6863136,97.7453061
63,Schneider Electric SE,Schneider Electric SA,Industrials,Europe & Middle East,DM,FR,France,B+,B,A-,B+,A+,46.603354,1.8883335
64,SEB SA,SEB SA,Consumer Discretionary,Europe & Middle East,DM,FR,France,A-,B+,A+,A,A-,46.603354,1.8883335
65,Sekisui Chemical Co Ltd,Sekisui Chemical,Consumer Discretionary,Asia-Pacific,DM,JP,Japan,B+,B+,A-,B,B+,36.5748441,139.2394179
66,Sensata Technologies Holding N.V.,Sensata Technologies Holding PLC,Industrials,North America,DM,US,United States,C,C,C-,B,B+,39.7837304,-100.4458825
67,Sika AG Registered Shares,Sika AG,Materials,Europe & Middle East,DM,CH,Switzerland,B-,B-,B,B,B,46.7985624,8.2319736
68,SK Hynix Inc,SK Hynix Inc,Information Technology,Asia-Pacific,EM,KR,Korea (Republic of),B+,B+,B,B,B,36.5581914,127.9408564
69,SK Telecom Co Ltd ADR,SK TELECOM,Telecommunication Services,Asia-Pacific,EM,KR,Korea (Republic of),B+,B+,B+,B-,A+,36.5581914,127.9408564
70,Sonova Holding AG,Sonova Holding AG,Health Care,Europe & Middle East,DM,CH,Switzerland,A-,B+,B-,A,A,46.7985624,8.2319736
71,Steelcase Inc Class A,Steel Dynamics Inc,Materials,North America,DM,US,United States,C,C,D+,B-,B+,39.7837304,-100.4458825
72,Suez SA,Suez Environnement,Utilities,Europe & Middle East,DM,FR,France,B+,A-,B-,B+,A-,46.603354,1.8883335
73,Swiss Life Holding AG,Swiss Life,Financials,Europe & Middle East,DM,CH,Switzerland,B,B-,B-,B-,A+,46.7985624,8.2319736
74,Swiss Re AG,Swiss Re,Financials,Europe & Middle East,DM,CH,Switzerland,A,A,B+,A,A+,46.7985624,8.2319736
75,Taiwan Semiconductor Manufacturing Co Ltd,Taiwan Semiconductors Manufacturing,Information Technology,Asia-Pacific,EM,TW,Taiwan,B+,A-,B,B+,A-,23.59829785,120.835363138175
76,Telefonica Emisiones S.A.U. 4.71%,Telefonica,Telecommunication Services,Europe & Middle East,DM,ES,Spain,B+,A-,A,C+,A,39.3262345,-4.8380649
77,Thermo Fisher Scientific Inc,Thermo Fisher Scientific,Health Care,North America,DM,US,United States,B-,C,C,A-,B+,39.7837304,-100.4458825
78,Total S.A. 2.25%,Total SA,Energy,Europe & Middle East,DM,FR,France,C-,D,C+,C+,B+,46.603354,1.8883335
79,Towngas China Co Ltd,Towngas China Co Ltd,Utilities,Asia-Pacific,EM,CN,China,C+,C+,C+,B-,B+,35.000074,104.999927
80,Turkiye Vakiflar Bankasi T.A.O. 2.38%,TURKIYE VAKIFLAR BANKASI,Financials,Europe & Middle East,EM,TR,Turkey,C+,C,B-,C,B+,38.9597594,34.9249653
81,Unilever N.V. 0.5%,Unilever NV,Consumer Staples,Europe & Middle East,DM,NL,Netherlands,B,B,B,B,A,52.2379891,5.53460738161551
82,Veolia Environnement SA,Veolia Environnement,Utilities,Europe & Middle East,DM,FR,France,B-,B-,C+,B+,B+,46.603354,1.8883335
83,Vestas Wind Systems A/S,Vestas Wind Systems,Industrials,Europe & Middle East,DM,DK,Denmark,A+,A+,C+,A,A,55.670249,10.3333283
84,Volkswagen Financial Services N.V. 2.75%,Volkswagen S,Consumer Discretionary,Europe & Middle East,DM,DE,Germany,D-,D+,C,C-,C-,51.0834196,10.4234469
85,Voya Financial Inc,VOYA FINANCIAL,Financials,North America,DM,US,United States,C+,C+,C,B-,A+,39.7837304,-100.4458825
86,Xylem Inc,Xylem,Industrials,North America,DM,US,United States,A-,B+,B+,A,A,39.7837304,-100.4458825
87,Zhuzhou CRRC Times Electric Co Ltd H,Zhuzhou CRRC Times Electric Co Ltd,Industrials,Asia-Pacific,EM,CN,China,C,C,C-,C+,B-,35.000074,104.999927
88,Zurich Insurance Group AG,Zurich Insurance Group AG,Financials,Europe & Middle East,DM,CH,Switzerland,A-,A-,B+,A-,A,46.7985624,8.2319736
